rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8
39644,39723,39881,39684,39763,39407,39565,39842
38893,38656,39684,39763,39763,39525,39605,39644
38814,38261,39565,39763,39723,39684,39565,39525
39407,38616,39605,39723,39881,39960,39605,39644
39842,38103,39605,39842,40197,40237,39684,39881
39802,37312,39486,39881,40237,40316,39723,39842
39565,37273,39684,39763,39960,39960,39684,39723
39802,38656,39881,39723,39723,39684,39605,39763
40790,40751,40158,39723,39605,39565,39684,40079
41067,41976,40237,39723,39684,39565,39723,40158
40276,42174,40158,39921,40039,39723,39684,40000
39644,41620,40039,40000,40276,39960,39644,39842
39288,39960,39763,39802,40039,39960,39605,39723
39249,38261,39565,39565,39605,39802,39605,39763
39328,38103,39525,39525,39525,39881,39763,39881
39130,38458,39446,39565,39684,39921,39684,39763
38972,39367,39367,39525,39684,39684,39605,39486
39209,40197,39446,39763,39684,39565,39525,39486
39565,40632,39644,40000,39960,39723,39644,39605
39565,40632,39723,40039,40079,39763,39684,39605
39565,40039,39763,39921,39921,39723,39644,39644
39605,39446,39881,39802,39723,39605,39565,39644
39802,39209,40000,39763,39565,39644,39605,39802
40118,39130,40158,39881,39644,39684,39644,40000
40395,39407,40197,40000,39881,39802,39763,40118
40395,39763,40197,39842,39921,39842,39842,40276
40276,39960,40079,39723,39921,39881,39881,40237
40079,39881,40000,39723,40039,40000,39881,40118
39763,40039,39921,39644,39881,40079,39960,39960
39525,40553,39842,39644,39605,40079,39921,39723
39605,41027,39881,39842,39446,40118,39723,39723
39723,40711,40000,39960,39565,40197,39565,39802
39605,40079,40039,39842,39605,40000,39565,39802
39525,39684,40079,39763,39842,40197,39605,39763
40000,39565,40197,39802,40395,40474,39802,39723
40356,39012,40000,39763,40514,40395,39960,39763
40039,39051,39763,39605,40276,40237,39881,39921
39486,39723,39525,39565,40197,40000,39684,39960
39367,39921,39407,39605,39960,39763,39565,39960
39960,39328,39565,39723,39486,39446,39565,40039
40632,39288,39921,40000,39051,39051,39723,40158
40948,39960,40118,40039,38893,39644,40158,40237
39644,40118,39960,39842,39328,40395,40553,40000
37035,39486,39763,39723,39881,40514,40474,39288
36522,39091,39605,39605,40197,40079,40000,39012
38498,39842,39644,39565,40356,39723,39763,39288
41027,40948,39802,39921,41383,39881,39525,39802
42529,41462,40039,40276,42016,40869,39684,40276
42095,41027,40039,40158,41186,41937,39881,40395
40790,40079,40000,39763,39684,42055,39605,40000
39328,39367,40039,39525,38616,40909,38854,39525
38142,39407,39921,39684,38340,38893,38419,39525
37747,39960,39881,39763,38300,36759,38142,39565
37510,40553,39881,39684,38458,35059,38063,39328
38024,40632,40000,39605,38854,35099,38419,39328
40079,40276,40039,39605,39328,37193,39565,40039
39842,40751,40000,40000,40790,40435,39525,40356
39644,39367,39842,39960,40276,39446,39170,40000
39170,38893,39921,39881,39605,37510,38616,39012
38616,38774,39842,39684,38735,35573,38300,38300
38656,38774,39763,39644,38616,35968,38893,38854
39525,38774,39842,39802,39605,37826,39644,39605
40830,38814,39842,39921,40435,39763,40118,40118
41225,39091,39881,39842,40197,41304,40474,40237
40356,39091,39921,39842,39921,41937,40593,40237
39446,39288,39960,39842,39723,41660,40553,39960
39446,40118,39921,39723,39407,40909,40435,39842
39723,40790,39881,39605,39249,40237,40079,40000
39881,40672,39802,39565,39446,39842,39763,40079
39802,40276,39881,39842,40276,40000,39644,40593
39407,40197,40079,40158,41146,40356,39723,40948
39249,40079,40197,40237,42134,40593,39605,40316
39446,40118,40000,40000,41739,40079,39486,39525
40079,40276,40039,39802,40672,39486,39525,39209
40593,40632,40118,39842,39842,39328,39605,39446
40474,40751,40197,39723,38854,39288,39486,39802
39446,40514,39960,39605,38103,39130,39249,39881
39051,40751,39842,39763,38103,39091,39288,39684
39881,41265,39802,39723,38300,38893,39605,39763
40435,41858,39802,39684,38498,39209,39881,39763
40711,41818,39881,39605,38972,39367,40316,39881
40711,41027,39802,39881,39802,39130,40435,40039
39763,39802,39684,39881,40356,38656,39605,39684
37707,37747,39486,39802,40988,38933,38577,39407
38103,36877,39644,39881,41304,39684,38616,39684
40869,36798,39921,40118,41304,40435,39012,40276
41778,36996,40158,40276,40830,40948,39486,40474
41027,37944,40237,40118,40237,40869,39842,40158
39525,39446,40000,39921,39446,40276,39802,39723
37431,40158,39565,39644,39209,39367,39565,39328
36680,40118,39486,39565,39328,39328,39367,39209
38458,40079,39486,39644,39407,39644,39605,39486
40197,40988,39446,39605,39249,39723,40474,39842
41027,42609,39446,39644,39091,39565,41265,40118
41462,42371,39644,39684,39130,39486,41225,40158
41581,41383,39842,39644,38972,39091,40435,40079
40553,40830,40079,39684,39130,38972,39605,39921
38182,40118,40276,39921,39723,39605,39012,39723
36087,39565,40276,40158,40158,40514,38893,39842
