rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8
40158,41462,39802,39486,39486,39565,39644,40000
39921,42411,39842,39525,39644,39723,39723,39921
39763,41581,40000,39960,40197,40000,39881,40079
39723,39525,40000,40197,40553,40237,39802,40118
39723,38300,39960,40079,40237,40039,39723,39921
39723,38182,39921,39723,39842,39842,39723,39802
39763,38972,40039,39763,39723,40000,39763,39802
39763,40039,40079,39921,39960,40276,39842,39881
39802,40514,40079,39881,39960,40316,39881,39921
39802,40672,40237,39960,40118,40356,39921,40039
39842,40869,40118,40079,40039,40039,39723,39881
39684,40593,39960,39802,39565,39605,39446,39565
39605,40039,39763,39565,39486,39367,39367,39565
39525,39367,39644,39565,39367,39565,39446,39684
39486,38340,39525,39565,39170,39684,39565,39684
39446,37470,39486,39644,39328,39525,39684,39723
39407,37470,39565,39763,39684,39565,39605,39684
39763,38814,39763,39921,40039,39802,39723,39763
40079,40158,39842,40000,40118,39881,39763,39960
40118,39881,39684,39881,40039,39802,39723,39881
39921,40514,39446,39525,40197,39525,39644,39684
39763,40869,39328,39288,40316,39367,39605,39723
39684,39209,39446,39328,40158,39170,39684,39842
39881,40197,39644,39723,40118,38182,39881,40079
39525,43004,39881,39842,39842,37233,39802,40158
38933,42332,40039,39842,39209,37075,39605,40000
39051,40593,40118,39921,39051,38340,39605,39960
39921,40435,40158,39842,39051,39960,39565,40039
40356,40751,40118,39802,39051,40988,39486,39842
40395,40593,40158,39881,39288,41818,39486,39763
40316,40079,40276,39921,39605,42292,39644,39684
39486,39644,40276,39960,40000,41897,39763,39723
39525,39407,40079,39921,40237,41304,39881,39802
40079,38854,39644,39881,40514,41344,39802,39802
40356,37747,39525,39881,40751,41225,39802,39763
40118,37470,39644,39802,40751,41107,39881,39842
40039,37786,40039,39565,40356,40632,39921,39921
40197,38616,40276,39407,40079,39960,39881,39842
38972,39446,40316,39525,40039,38893,39723,39446
37470,40237,40672,39802,40158,38103,39565,39249
38024,40711,40553,39802,39881,37193,39446,39605
39367,40711,40079,39605,39130,37035,39407,39842
40118,40593,39842,39525,38695,38142,39486,40079
40553,40395,39842,39723,38933,39921,39565,40197
40474,40158,39605,39802,38814,41265,39684,40079
40000,39842,39328,40000,39170,41225,39723,40039
39605,39605,39051,40197,39960,40435,39763,39960
39288,40079,38972,40158,40553,39881,39802,39723
39170,40356,38774,39960,40711,39842,39684,39763
39565,39881,38735,39842,40711,40237,39723,39763
39802,39644,38814,39605,40474,40435,39723,39723
39565,39367,39170,39605,40118,40395,39605,39565
38893,39051,39565,39605,39763,40395,39605,39525
39486,39130,39921,39605,39605,40553,39723,39881
40909,39525,40118,39802,39367,40711,39921,40118
41383,39842,40553,39802,38972,40672,39802,40000
40830,39842,40830,39644,38774,40474,39644,39723
39605,39960,40869,39367,39249,40158,39565,39605
39367,40711,40830,39644,40118,40039,39763,39960
39842,41344,40593,40158,40711,40039,39881,40316
39486,40988,39763,40276,40593,40000,39881,40237
38498,40276,39170,39921,40079,39723,39802,39842
38063,39921,39209,39684,39921,39723,39605,39605
38419,39960,39565,39525,39644,39525,39525,39367
38933,40039,40000,39565,39407,39012,39525,39407
40632,40237,40276,39684,39525,38537,39684,39842
42174,40356,40118,39842,39802,38735,39684,40158
40790,40079,39881,39881,40000,39288,39644,40039
39486,39525,40079,39763,40039,39842,39684,39842
39446,39367,40988,39763,40039,40197,39723,39842
38933,39565,41304,39881,39921,40276,39684,39802
39209,39684,41107,39723,39763,40079,39605,39881
40553,39842,40474,39684,39644,39842,39605,40237
40553,39763,38972,39842,39644,39763,39684,40316
39446,39209,37786,39960,39881,39763,39644,39723
38774,39170,37510,40197,40356,39881,39525,38933
39288,39763,37786,40158,40316,39763,39644,39051
